CÓDIGO DO PROCEDIMENTO NO SIGTAP;PROCEDIMENTO CIRÚRGICO;QUANTIDADE DE SOLICITAÇÕES NA FILA ATÉ DIA 31/12/22;Redução do Tamanho da Fila (%);Prazo para reduzir o % proposto (em meses);Qtde de cirurgias a serem feitas no prazo pactuado;SQ (CODIGO Interno;UF;STATUS
401020029;ENXERTO DERMO-EPIDERMICO;9;0.0;;0;100001;ACRE;APROVADO
401020037;ENXERTO LIVRE DE PELE TOTAL;14;0.0;;0;100002;ACRE;APROVADO
401020045;EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR );20;0.0;;0;100003;ACRE;APROVADO
401020053;EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO;17;0.0;;0;100004;ACRE;APROVADO
401020061;EXERESE DE CISTO BRANQUIAL;28;0.0;;0;100005;ACRE;APROVADO
401020070;EXERESE DE CISTO DERMOIDE;138;0.0;;0;100006;ACRE;APROVADO
401020088;EXERESE DE CISTO SACRO-COCCIGEO;1;0.0;;0;100007;ACRE;APROVADO
401020096;EXERESE DE CISTO TIREOGLOSSO;18;1.0;9;18;100008;ACRE;APROVADO
401020100;EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO;10;0.0;;0;100009;ACRE;APROVADO
401020150;TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR;8;0.0;;0;100010;ACRE;APROVADO
402010027;PARATIREOIDECTOMIA;11;1.0;9;11;100011;ACRE;APROVADO
402010035;TIREOIDECTOMIA PARCIAL;16;1.0;9;16;100012;ACRE;APROVADO
402010043;TIREOIDECTOMIA TOTAL;185;1.0;9;185;100013;ACRE;APROVADO
403010152;RESSECÇÃO DE MUCOCELE FRONTAL;1;0.0;;0;100014;ACRE;APROVADO
403020123;TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO;22;0.0;;0;100015;ACRE;APROVADO
404010016;ADENOIDECTOMIA;28;0.0;;0;100016;ACRE;APROVADO
404010024;AMIGDALECTOMIA;31;0.0;;0;100017;ACRE;APROVADO
404010032;AMIGDALECTOMIA C/ ADENOIDECTOMIA;39;0.0;;0;100018;ACRE;APROVADO
