CNES;ESTABELECIMENTO;CÓDIGO DO PROCEDIMENTO PRINCIPAL NO SIGTAP;PROCEDIMENTO CIRÚRGICO (PRINCIPAL);COMPLEMENTO COM RECURSO FEDERAL DO PROCEDIMENTO PRINCIPAL (Percentual);GESTÃO DO SERVIÇO;CODIGO DA NATUREZA JURÍDICA;NATUREZA JURÍDICA;POSSUI CONTRATO COM A SECRETARIA DE SAÚDE ?;Identificação do Nome do Estabelecimento que não apareceu nesta planilha (coluna B);SQ (CODIGO Interno;UF;STATUS
2000296;HOSPITAL DA MULHER E DA CRIANCA DO JURUA;409060135;HISTERECTOMIA TOTAL;;ESTADUAL;1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;;;200001;ACRE;APROVADO
2000296;HOSPITAL DA MULHER E DA CRIANCA DO JURUA;409060186;LAQUEADURA TUBARIA;;ESTADUAL;1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;;;200002;ACRE;APROVADO
2000296;HOSPITAL DA MULHER E DA CRIANCA DO JURUA;409060046;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;;ESTADUAL;1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;;;200003;ACRE;APROVADO
2001586;FUNDHACRE;409010189;LITOTRIPSIA;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200004;ACRE;APROVADO
2001586;FUNDHACRE;409010200;NEFRECTOMIA PARCIAL;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200005;ACRE;APROVADO
2001586;FUNDHACRE;409010367;RESSECCAO DO COLO VESICAL / TUMOR VESICAL A CEU ABERTO;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200006;ACRE;APROVADO
2001586;FUNDHACRE;409020176;URETROTOMIA INTERNA;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200007;ACRE;APROVADO
2001586;FUNDHACRE;409010170;INSTALACAO ENDOSCOPICA DE CATETER DUPLO J;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200008;ACRE;APROVADO
2001586;FUNDHACRE;406020078;IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL);;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200009;ACRE;APROVADO
2001586;FUNDHACRE;409070050;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200012;ACRE;APROVADO
2001586;FUNDHACRE;409070270;TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL;;ESTADUAL;1147;FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL;;;200013;ACRE;APROVADO
