CODIGO GESTOR;Gestão do Recurso;DESCRIÇÃO DO GESTOR;VALOR;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;% TOTAL;SQ (CODIGO Interno;UF;STATUS
120000;ESTADUAL;Acre;2.550.776,40;0%;10%;15%;15%;10%;10%;10%;10%;10%;10%;100%;30001;ACRE;APROVADO
270000;ESTADUAL;Alagoas;2.835.357,05;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30001;ALAGOAS;APROVADO
270430;MUNICIPAL;MACEIO;1.453.549,63;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30002;ALAGOAS;APROVADO
270860;MUNICIPAL;SAO MIGUEL DOS CAMPOS;245.095,70;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30003;ALAGOAS;APROVADO
270630;MUNICIPAL;PALMEIRA DOS INDIOS;939.637,58;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30004;ALAGOAS;APROVADO
270230;MUNICIPAL;CORURIPE;270.060,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30005;ALAGOAS;APROVADO
270690;MUNICIPAL;PILAR;1.286.437,40;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30006;ALAGOAS;APROVADO
270670;MUNICIPAL;PENEDO;1.025.031,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30007;ALAGOAS;APROVADO
270800;MUNICIPAL;SANTANA DO IPANEMA;1.048.387,10;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30008;ALAGOAS;APROVADO
270915;MUNICIPAL;TEOTONIO VILELA;362.190,60;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30009;ALAGOAS;APROVADO
160000;ESTADUAL;Amapá;2.468.468,16;0%;0%;14%;14%;12%;12%;12%;12%;12%;12%;100%;30001;AMAPA;APROVADO
130000;ESTADUAL;Amazonas;7.550.130,50;0%;10%;20%;10%;10%;10%;10%;10%;10%;10%;100%;30001;AMAZONAS;APROVADO
130002;MUNICIPAL;ALVARAES;46.071,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30002;AMAZONAS;APROVADO
130006;MUNICIPAL;AMATURA;33.534,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30003;AMAZONAS;APROVADO
130020;MUNICIPAL;ATALAIA DO NORTE;58.629,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30004;AMAZONAS;APROVADO
130014;MUNICIPAL;APUI;63.894,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30005;AMAZONAS;APROVADO
130030;MUNICIPAL;AUTAZES;115.224,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30006;AMAZONAS;APROVADO
130050;MUNICIPAL;BARREIRINHA;92.502,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30007;AMAZONAS;APROVADO
130060;MUNICIPAL;BENJAMIN CONSTANT;126.093,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30008;AMAZONAS;APROVADO
130070;MUNICIPAL;BOCA DO ACRE;98.229,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30009;AMAZONAS;APROVADO
130080;MUNICIPAL;BORBA;118.941,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30010;AMAZONAS;APROVADO
130100;MUNICIPAL;CARAUARI;80.700,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30011;AMAZONAS;APROVADO
130110;MUNICIPAL;CAREIRO;109.083,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30012;AMAZONAS;APROVADO
130120;MUNICIPAL;COARI;243.663,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30013;AMAZONAS;APROVADO
130130;MUNICIPAL;CODAJAS;83.430,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30014;AMAZONAS;APROVADO
130140;MUNICIPAL;EIRUNEPE;101.499,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30015;AMAZONAS;APROVADO
130160;MUNICIPAL;FONTE BOA;46.107,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30016;AMAZONAS;APROVADO
130165;MUNICIPAL;GUAJARA;48.312,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30017;AMAZONAS;APROVADO
130170;MUNICIPAL;HUMAITA;160.716,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30018;AMAZONAS;APROVADO
130180;MUNICIPAL;IPIXUNA;87.591,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30019;AMAZONAS;APROVADO
130185;MUNICIPAL;IRANDUBA;139.707,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30020;AMAZONAS;APROVADO
130200;MUNICIPAL;ITAPIRANGA;26.166,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30021;AMAZONAS;APROVADO
130240;MUNICIPAL;LABREA;133.992,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30022;AMAZONAS;APROVADO
130250;MUNICIPAL;MANACAPURU;279.912,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30023;AMAZONAS;APROVADO
130255;MUNICIPAL;MANAQUIRI;95.484,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30024;AMAZONAS;APROVADO
130270;MUNICIPAL;MANICORE;161.307,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30025;AMAZONAS;APROVADO
130290;MUNICIPAL;MAUES;185.904,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30026;AMAZONAS;APROVADO
130300;MUNICIPAL;NHAMUNDA;61.005,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30027;AMAZONAS;APROVADO
130310;MUNICIPAL;NOVA OLINDA DO NORTE;108.648,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30028;AMAZONAS;APROVADO
130320;MUNICIPAL;NOVO AIRAO;57.309,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30029;AMAZONAS;APROVADO
130330;MUNICIPAL;NOVO ARIPUANA;74.304,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30030;AMAZONAS;APROVADO
130340;MUNICIPAL;PARINTINS;327.192,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30031;AMAZONAS;APROVADO
130353;MUNICIPAL;PRESIDENTE FIGUEIREDO;107.046,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30032;AMAZONAS;APROVADO
