CNES;ESTABELECIMENTO;CÓDIGO DO PROCEDIMENTO PRINCIPAL NO SIGTAP;PROCEDIMENTO CIRÚRGICO (PRINCIPAL);COMPLEMENTO COM RECURSO FEDERAL DO PROCEDIMENTO PRINCIPAL (Percentual);GESTÃO DO SERVIÇO;CODIGO DA NATUREZA JURÍDICA;NATUREZA JURÍDICA;POSSUI CONTRATO COM A SECRETARIA DE SAÚDE ?;Identificação do Nome do Estabelecimento que não apareceu nesta planilha (coluna B);SQ (CODIGO Interno;UF;STATUS
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;403070163;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200001;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406010137;CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200002;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406010650;IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA TRANSVENOSO;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200003;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406010692;IMPLANTE DE PRÓTESE VALVAR;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200004;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406010820;PLÁSTICA VALVAR E/OU TROCA VALVAR MÚLTIPLA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200005;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406010935;REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200006;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406030030;ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200007;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406040060;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200008;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406040095;ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO OU TRONCOS SUPRA-AÓRTICOS (COM STENT NÃO RECOBERTO);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200009;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;406040133;ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200010;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409010235;NEFROLITOTOMIA PERCUTANEA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200011;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409010596;URETEROLITOTRIPSIA TRANSURETEROSCÓPICA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200012;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409030023;PROSTATECTOMIA SUPRAPÚBICA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200013;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409030040;RESSECCAO ENDOSCOPICA DE PROSTATA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200014;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060135;HISTERECTOMIA TOTAL;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200015;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;415010012;TRATAMENTO C/ CIRURGIAS MULTIPLAS;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200016;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060119;HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200017;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060135;HISTERECTOMIA TOTAL;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200018;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060127;HISTERECTOMIA SUBTOTAL;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200019;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060100;HISTERECTOMIA (POR VIA VAGINAL);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200020;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060151;HISTERECTOMIA VIDEOLAPAROSCOPICA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200021;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;407030026;COLECISTECTOMIA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200022;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409070033;COLPOCLEISE (CIRURGIA DE LE FORT);;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200023;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409070050;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200024;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060020;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR C/ AMPUTACAO DE COLO;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200025;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409070068;COLPOPERINEOPLASTIA POSTERIOR;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200026;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060046;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200027;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060038;EXCISÃO TIPO 3 DO COLO UTERINO;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200028;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409070149;EXERESE DE CISTO VAGINAL;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200029;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409070157;EXERESE DE GLANDULA DE BARTHOLIN / SKENE;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200030;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;407040161;LAPAROTOMIA EXPLORADORA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200031;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060178;HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200032;TOCANTINS;NAO_APROVADO
2755165;HOSPITAL DOM ORIONE DE ARAGUAINA;409060194;MIOMECTOMIA;;ESTADUAL;3999;ASSOCIACAO PRIVADA;SIM;;200033;TOCANTINS;NAO_APROVADO
