CODIGO GESTOR;Gestão do Recurso;DESCRIÇÃO DO GESTOR;VALOR;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;% TOTAL;SQ (CODIGO Interno;UF;STATUS
290000;ESTADUAL;Bahia;21.182.803,42;0%;10%;10%;10%;15%;10%;10%;15%;10%;10%;100%;30001;BAHIA;NAO_APROVADO
290570;MUNICIPAL;CAMACARI;759.658,17;10%;10%;10%;10%;10%;10%;10%;10%;10%;10%;100%;30002;BAHIA;NAO_APROVADO
290600;MUNICIPAL;CAMPO FORMOSO;176.284,29;0%;0%;20%;5%;15%;20%;20%;20%;0%;0%;100%;30003;BAHIA;NAO_APROVADO
291005;MUNICIPAL;DIAS D'AVILA;205.645,35;0%;0%;15%;15%;15%;15%;20%;10%;10%;0%;100%;30004;BAHIA;NAO_APROVADO
291480;MUNICIPAL;ITABUNA;526.054,58;10%;10%;10%;10%;11%;10%;10%;10%;10%;9%;100%;30005;BAHIA;NAO_APROVADO
291800;MUNICIPAL;JEQUIE;383.939,29;0%;0%;20%;10%;20%;15%;10%;15%;10%;0%;100%;30006;BAHIA;NAO_APROVADO
291980;MUNICIPAL;MACAUBAS;124.021,06;0%;50%;50%;0%;0%;0%;0%;0%;0%;0%;100%;30007;BAHIA;NAO_APROVADO
292740;MUNICIPAL;SALVADOR;7.125.465,76;0%;15%;15%;10%;10%;10%;10%;10%;10%;10%;100%;30008;BAHIA;NAO_APROVADO
292880;MUNICIPAL;SANTO ESTEVAO;131.845,93;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30009;BAHIA;NAO_APROVADO
292900;MUNICIPAL;SAO FELIX;36.321,14;0%;30%;30%;40%;0%;0%;0%;0%;0%;0%;100%;30010;BAHIA;NAO_APROVADO
293330;MUNICIPAL;VITORIA DA CONQUISTA;844.257,62;0%;10%;13%;12%;12%;12%;12%;12%;12%;5%;100%;30011;BAHIA;NAO_APROVADO
290080;MUNICIPAL;ALCOBACA;55.299,82;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30012;BAHIA;NAO_APROVADO
290210;MUNICIPAL;ARACI;134.884,97;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30013;BAHIA;NAO_APROVADO
290320;MUNICIPAL;BARREIRAS;389.233,66;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30014;BAHIA;NAO_APROVADO
290350;MUNICIPAL;BELO CAMPO;41.797,32;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30015;BAHIA;NAO_APROVADO
290410;MUNICIPAL;BOQUIRA;52.786,52;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30016;BAHIA;NAO_APROVADO
290460;MUNICIPAL;BRUMADO;165.754,50;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30017;BAHIA;NAO_APROVADO
290500;MUNICIPAL;CACULE;57.506,01;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30018;BAHIA;NAO_APROVADO
290590;MUNICIPAL;CAMPO ALEGRE DE LOURDES;70.851,28;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30019;BAHIA;NAO_APROVADO
290610;MUNICIPAL;CANAPOLIS;23.816,09;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30020;BAHIA;NAO_APROVADO
290630;MUNICIPAL;CANAVIEIRAS;75.477,41;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30021;BAHIA;NAO_APROVADO
290650;MUNICIPAL;CANDEIAS;215.755,03;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30022;BAHIA;NAO_APROVADO
290660;MUNICIPAL;CANDIBA;35.414,58;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30023;BAHIA;NAO_APROVADO
290680;MUNICIPAL;CANSANCAO;85.813,11;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30024;BAHIA;NAO_APROVADO
290682;MUNICIPAL;CANUDOS;41.352,64;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30025;BAHIA;NAO_APROVADO
290690;MUNICIPAL;CARAVELAS;54.457,14;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30026;BAHIA;NAO_APROVADO
290710;MUNICIPAL;CARINHANHA;71.536,72;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30027;BAHIA;NAO_APROVADO
290730;MUNICIPAL;CASTRO ALVES;64.783,01;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30028;BAHIA;NAO_APROVADO
290830;MUNICIPAL;CONCEICAO DO ALMEIDA;41.979,12;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30029;BAHIA;NAO_APROVADO
290840;MUNICIPAL;CONCEICAO DO COITE;165.572,70;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30030;BAHIA;NAO_APROVADO
290910;MUNICIPAL;CORIBE;34.660,35;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30031;BAHIA;NAO_APROVADO
290930;MUNICIPAL;CORRENTINA;79.214,18;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30032;BAHIA;NAO_APROVADO
291070;MUNICIPAL;EUCLIDES DA CUNHA;150.139,16;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30033;BAHIA;NAO_APROVADO
291072;MUNICIPAL;EUNAPOLIS;283.414,94;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30034;BAHIA;NAO_APROVADO
291080;MUNICIPAL;FEIRA DE SANTANA;1.533.297,91;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30035;BAHIA;NAO_APROVADO
291085;MUNICIPAL;FILADELFIA;40.080,02;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30036;BAHIA;NAO_APROVADO
291120;MUNICIPAL;GANDU;80.528,56;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30037;BAHIA;NAO_APROVADO
291170;MUNICIPAL;GUANAMBI;209.694,13;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30038;BAHIA;NAO_APROVADO
291200;MUNICIPAL;IBIASSUCE;21.740,11;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30039;BAHIA;NAO_APROVADO
291290;MUNICIPAL;IBIRATAIA;35.564,45;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30040;BAHIA;NAO_APROVADO
291320;MUNICIPAL;IBOTIRAMA;66.519,96;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30041;BAHIA;NAO_APROVADO
291360;MUNICIPAL;ILHEUS;387.285,43;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30042;BAHIA;NAO_APROVADO
291400;MUNICIPAL;IPIRA;145.640,78;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30043;BAHIA;NAO_APROVADO
291465;MUNICIPAL;ITABELA;75.917,17;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30044;BAHIA;NAO_APROVADO
291560;MUNICIPAL;ITAMARAJU;158.273,58;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30045;BAHIA;NAO_APROVADO
291640;MUNICIPAL;ITAPETINGA;190.174,96;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30046;BAHIA;NAO_APROVADO
291700;MUNICIPAL;ITIUBA;88.788,28;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30047;BAHIA;NAO_APROVADO
291735;MUNICIPAL;JABORANDI;20.086,69;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30048;BAHIA;NAO_APROVADO
291750;MUNICIPAL;JACOBINA;198.383,09;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30049;BAHIA;NAO_APROVADO
291770;MUNICIPAL;JAGUARARI;83.321,93;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30050;BAHIA;NAO_APROVADO
291810;MUNICIPAL;JEREMOABO;100.315,52;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30051;BAHIA;NAO_APROVADO
291840;MUNICIPAL;JUAZEIRO;539.372,83;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30052;BAHIA;NAO_APROVADO
291915;MUNICIPAL;LAPAO;67.126,79;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30053;BAHIA;NAO_APROVADO
291950;MUNICIPAL;LIVRAMENTO DE NOSSA SENHORA;113.926,12;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30054;BAHIA;NAO_APROVADO
291955;MUNICIPAL;LUIS EDUARDO MAGALHAES;227.672,90;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30055;BAHIA;NAO_APROVADO
292050;MUNICIPAL;MARACAS;49.069,40;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30056;BAHIA;NAO_APROVADO
292100;MUNICIPAL;MATA DE SAO JOAO;117.048,70;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30057;BAHIA;NAO_APROVADO
292110;MUNICIPAL;MEDEIROS NETO;55.869,79;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30058;BAHIA;NAO_APROVADO
292150;MUNICIPAL;MONTE SANTO;120.738,79;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30059;BAHIA;NAO_APROVADO
292170;MUNICIPAL;MORRO DO CHAPEU;87.132,40;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30060;BAHIA;NAO_APROVADO
292200;MUNICIPAL;MUCURI;104.976,05;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30061;BAHIA;NAO_APROVADO
292205;MUNICIPAL;MULUNGU DO MORRO;25.720,10;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30062;BAHIA;NAO_APROVADO
